instr,TP,LT,ports
cmpq-r64_r64,0.25,None,"(0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0)"
cmp-r8_mem,0.5,None,"(0.25,0.25,0.5,0.5,0.0,0.25,0.25,0.0)"
cmpb-r8_mem,0.5,None,"(0.25,0.25,0.5,0.5,0.0,0.25,0.25,0.0)"
cmp-mem,0.5,None,"(0.25,0.25,0.5,0.5,0.0,0.25,0.25,0.0)"
cmp-r32_mem,0.5,None,"(0.25,0.25,0.5,0.5,0.0,0.25,0.25,0.0)"
cmpl-r32_mem,0.5,None,"(0.25,0.25,0.5,0.5,0.0,0.25,0.25,0.0)"
cmp-r64_mem,0.5,None,"(0.25,0.25,0.5,0.5,0.0,0.25,0.25,0.0)"
cmpq-r64_mem,0.5,None,"(0.25,0.25,0.5,0.5,0.0,0.25,0.25,0.0)"
cmp-r8_imd,0.25,None,"(0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0)"
cmpb-r8_imd,0.25,None,"(0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0)"
cmp-r32_imd,0.25,None,"(0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0)"
cmpl-r32_imd,0.25,None,"(0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0)"
cmp-r64_imd,0.25,None,"(0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0)"
cmpq-r64_imd,0.25,None,"(0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0)"
cmovle-mem,0.5,None,"(0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.0)"
cmovle-r32_mem,0.5,None,"(0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.0)"
cmovlel-r32_mem,0.5,None,"(0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.0)"
cmovle-r64_mem,0.5,None,"(0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.0)"
cmovleq-r64_mem,0.5,None,"(0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.0)"
cmovle-,0.5,None,"(0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0)"
cmovle-r32_r32,0.5,None,"(0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0)"
cmovlel-r32_r32,0.5,None,"(0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0)"
cmovle-r64_r64,0.5,None,"(0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0)"
cmovleq-r64_r64,0.5,None,"(0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0)"
lsl-mem,1.25,None,"(1.25,1.25,0.5,0.5,0.0,0.25,1.25,0.0)"
lsl-r32_mem,1.25,None,"(1.25,1.25,0.5,0.5,0.0,0.25,1.25,0.0)"
lsl-r64_mem,1.25,None,"(1.25,1.25,0.5,0.5,0.0,0.25,1.25,0.0)"
lslq-r64_mem,1.25,None,"(1.25,1.25,0.5,0.5,0.0,0.25,1.25,0.0)"
lsl-,4.0,None,"(4.0,3.6666666666666665,1.0,1.0,0.0,2.0,3.3333333333333335,0.0)"
lsl-r32_r32,4.0,None,"(4.0,3.6666666666666665,1.0,1.0,0.0,2.0,3.3333333333333335,0.0)"
lsl-r64_r32,4.0,None,"(4.0,3.6666666666666665,1.0,1.0,0.0,2.0,3.3333333333333335,0.0)"
lahf-,0.25,None,"(0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0)"
cbw-,0.25,None,"(0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0)"
not-mem,1.0,None,"(0.25,0.25,0.8333333333333333,0.8333333333333333,1.0,0.25,0.25,0.3333333333333333)"
not-r8,0.25,None,"(0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0)"
notb-r8,0.25,None,"(0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0)"
not-mem,1.0,None,"(0.25,0.25,0.8333333333333333,0.8333333333333333,1.0,0.25,0.25,0.3333333333333333)"
not-mem,1.0,None,"(0.25,0.25,0.8333333333333333,0.8333333333333333,1.0,0.25,0.25,0.3333333333333333)"
not-mem,1.0,None,"(0.25,0.25,0.8333333333333333,0.8333333333333333,1.0,0.25,0.25,0.3333333333333333)"
not-,0.25,None,"(0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0)"
not-r32,0.25,None,"(0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0)"
notl-r32,0.25,None,"(0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0)"
not-r64,0.25,None,"(0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0)"
notq-r64,0.25,None,"(0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0)"
nop-,0.0,None,"(0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0)"
nop-r32,0.0,None,"(0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0)"
nopl-r32,0.0,None,"(0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0)"
nop-r64,0.0,None,"(0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0)"
nopq-r64,0.0,None,"(0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0)"
nop-mem,0.0,None,"(0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0)"
nop-mem,0.0,None,"(0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0)"
nop-mem,0.0,None,"(0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0)"
nop-,0.25,None,"(0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0)"
inc-mem,1.0,None,"(0.25,0.25,0.8333333333333333,0.8333333333333333,1.0,0.25,0.25,0.3333333333333333)"
inc-r8,0.25,None,"(0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0)"
incb-r8,0.25,None,"(0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0)"
inc-mem,1.0,None,"(0.25,0.25,0.8333333333333333,0.8333333333333333,1.0,0.25,0.25,0.3333333333333333)"
inc-mem,1.0,None,"(0.25,0.25,0.8333333333333333,0.8333333333333333,1.0,0.25,0.25,0.3333333333333333)"
inc-mem,1.0,None,"(0.25,0.25,0.8333333333333333,0.8333333333333333,1.0,0.25,0.25,0.3333333333333333)"
inc-,0.25,None,"(0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0)"
inc-r32,0.25,None,"(0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0)"
incl-r32,0.25,None,"(0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0)"
inc-r64,0.25,None,"(0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0)"
incq-r64,0.25,None,"(0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0)"
cmpsw-,1.0,None,"(0.8333333333333333,0.5,1.0,1.0,0.0,0.8333333333333333,0.8333333333333333,0.0)"
lock adc-mem_imd,1.8333333333333333,None,"(1.8333333333333333,0.5,1.0,1.0,1.0,0.8333333333333333,1.8333333333333333,0.0)"
lock adc-mem_imd,1.8333333333333333,None,"(1.8333333333333333,0.5,1.0,1.0,1.0,0.8333333333333333,1.8333333333333333,0.0)"
lock adc-mem_imd,1.8333333333333333,None,"(1.8333333333333333,0.5,1.0,1.0,1.0,0.8333333333333333,1.8333333333333333,0.0)"
lock adc-mem_imd,1.5833333333333333,None,"(1.5833333333333333,0.75,1.0,1.0,1.0,1.0833333333333333,1.5833333333333333,0.0)"
lock adc-mem_imd,1.8333333333333333,None,"(1.8333333333333333,0.5,1.0,1.0,1.0,0.8333333333333333,1.8333333333333333,0.0)"
lock adc-mem_imd,1.8333333333333333,None,"(1.8333333333333333,0.5,1.0,1.0,1.0,0.8333333333333333,1.8333333333333333,0.0)"
lock adc-mem_imd,1.8333333333333333,None,"(1.8333333333333333,0.5,1.0,1.0,1.0,0.8333333333333333,1.8333333333333333,0.0)"
lock adc-mem_r8,1.75,None,"(1.75,0.75,0.8333333333333333,0.8333333333333333,1.0,0.75,1.75,0.3333333333333333)"
lock adcb-mem_r8,1.75,None,"(1.75,0.75,0.8333333333333333,0.8333333333333333,1.0,0.75,1.75,0.3333333333333333)"
